category,image_id,width,height,prompt,bbox_512,bbox_1024,num_inference_steps,guidance_scale,seed,orig_nima_mean,orig_nima_std,orig_itm,orig_cos,orig_giqa
apple,177714,1023,654,"apple, A plate of cooked food in seen in this image.","[106, 0, 512, 512]","[0, 0, 1016, 648]",44,3.69262965878422,1827983318,5.554817,2.657002,0.1761474609375,0.221923828125,-411.127257087295
apple,113589,1024,768,"apple, A container holds apples, a banana, snap peas and triangle finger foods.","[477, 131, 512, 512]","[0, 0, 1024, 768]",33,7.666736345881738,1217393872,3.8821993,1.956633,0.2491455078125,0.330078125,-357.4769835615124
apple,60855,1024,816,"apple, Five oranges with a red apple and a green apple.","[454, 36, 512, 512]","[0, 0, 1024, 816]",10,3.517724977734583,29768455,5.58172,2.593482,0.324462890625,0.34375,-324.54566888403065
apple,280891,667,1000,"apple, A child with oranges and apples biting into one.","[18, 405, 512, 512]","[0, 0, 664, 1000]",16,8.043318237953184,335554307,4.543435,2.3475766,0.56982421875,0.33984375,-357.21948930887413
apple,473406,768,1024,"apple, A little boy sitting on a kitchen counter top next to a plate of sliced apples.","[256, 512, 512, 512]","[0, 0, 768, 1024]",31,9.88966672205119,1130085198,3.8350563,1.991391,0.0325927734375,0.336669921875,-509.9836266704088
apple,158660,612,612,"apple, Bowls of bananas and apples for sale in a cafe","[100, 11, 512, 512]","[4, 0, 608, 608]",48,9.876146943522146,2002619399,4.3503737,2.1444159,0.250732421875,0.34912109375,-281.30430947242183
apple,138954,612,612,"apple, The plate has sliced zucchinis, sliced apples, and diced meats.","[100, 61, 512, 512]","[4, 4, 608, 608]",25,8.945763102970082,807025520,4.9594994,2.4916446,0.035491943359375,0.300048828125,-403.1783315202356
apple,509131,1024,680,"apple, A bunch of mini bananas are hanging above a bowl of apples and oranges.","[251, 168, 512, 512]","[0, 0, 1024, 680]",12,9.21529046605526,126659316,5.090227,2.5508394,0.468017578125,0.3671875,-558.0466358563685
apple,303566,1024,681,"apple, A bunch of boxes that have fruit inside of them.","[327, 169, 512, 512]","[0, 1, 1024, 680]",20,7.373862226928552,544610078,5.3795485,2.5683467,0.04608154296875,0.325927734375,-443.1664450654314
apple,409424,768,1024,"apple, The fruit are arranges on the surface in a brown wicker basket.","[256, 267, 512, 512]","[0, 0, 768, 1024]",19,5.990471895371578,502803994,4.089946,2.0140975,0.51513671875,0.33349609375,-520.2014999512362
apple,461009,612,612,"apple, A man holding an apple between his fingers.","[31, 53, 512, 512]","[0, 4, 608, 608]",11,9.309143872631983,78112099,4.208955,2.1028373,0.54541015625,0.37158203125,-230.3843960527868
apple,216277,1024,768,"apple, A table topped with a half eaten apple next to a smart phone.","[87, 144, 512, 512]","[0, 0, 1024, 768]",50,1.807577018688813,2135232880,4.4487333,2.185624,0.59619140625,0.380615234375,-279.2116606570405
apple,203095,1024,768,"apple, a bunch of food is layed out next to an oven","[512, 256, 512, 512]","[0, 0, 1024, 768]",29,4.331183906260067,1006074700,4.424527,2.2279258,0.5888671875,0.413330078125,-494.7725061504195
apple,128598,768,1024,"apple, A group of red, yellow and orange fruit  mixed together.","[0, 265, 512, 512]","[0, 0, 768, 1024]",32,6.453450491583366,1171239504,4.828121,2.3688622,0.1182861328125,0.301513671875,-356.22184126644765
apple,479596,1023,685,"apple, a bunch of fruit sit on sale for the public ","[447, 173, 512, 512]","[7, 5, 1016, 680]",43,5.29956907226817,1754370252,5.0373673,2.4041877,0.2685546875,0.353271484375,-590.2027529359075
apple,376307,768,1024,"apple, some people at an outdoor shop and some different fruits","[1, 409, 512, 512]","[0, 0, 768, 1024]",30,8.135720924475056,1084998680,5.3583097,2.5858214,0.5458984375,0.368896484375,-431.6159188008794
apple,185599,1024,768,"apple, Many apples and oranges are stacked near to each other.","[155, 0, 512, 512]","[0, 0, 1024, 768]",46,2.755777541311419,1933072943,4.345294,2.1295588,0.275390625,0.3134765625,-522.0520941889504
backpack,549390,1024,683,"backpack, A woman in business attire riding a bicycle. ","[0, 171, 512, 512]","[0, 3, 1024, 680]",31,8.832242835730762,1145441010,4.9632926,2.427935,0.138671875,0.394287109375,-399.3163856962865
backpack,74256,1024,768,"backpack, Two women standing next to each other in a train station.","[512, 176, 512, 512]","[0, 0, 1024, 768]",25,3.5813548817879983,821827540,5.518189,2.750826,0.6298828125,0.4189453125,-360.0354197637105
backpack,490515,1024,683,"backpack, a person riding a snow board falling to the ground","[142, 35, 512, 512]","[0, 0, 1024, 680]",26,6.428333350464056,847200043,5.4632382,2.668946,0.1461181640625,0.285888671875,-355.185657132821
backpack,534041,1024,768,"backpack, a woman is feeding food to this small child","[512, 0, 512, 512]","[0, 0, 1024, 768]",24,7.997806746281609,757855135,5.702293,2.8147347,0.04052734375,0.185546875,-301.7862517815288
backpack,434204,1024,683,"backpack, A man riding on a skateboard on the sidewalk.","[410, 0, 512, 512]","[0, 0, 1024, 680]",35,7.444671666432088,1340589947,6.0938907,2.9214616,0.037384033203125,0.279052734375,-369.5552512791335
backpack,24610,1024,768,"backpack, A disorderly living area is free from decorative elements.","[512, 256, 512, 512]","[0, 0, 1024, 768]",47,9.238421084414568,1938609420,5.3626666,2.5421119,0.59912109375,0.364501953125,-255.32554726124405
backpack,455716,1024,693,"backpack, A row of motorcycles parked together on a grass yard area with a house in the background.","[503, 61, 512, 512]","[0, 0, 1024, 688]",44,8.743542842645962,1786372013,3.9651012,1.8197107,0.06744384765625,0.27490234375,-369.5546602789477
backpack,115245,612,612,"backpack, A table topped with bags of luggage and purses.","[0, 0, 512, 512]","[0, 0, 608, 608]",48,9.264138661438862,2014448640,5.330577,2.5920258,0.57421875,0.3974609375,-286.3865325720403
backpack,572462,612,612,"backpack, A group of people standing inside of a moving tram.","[100, 100, 512, 512]","[4, 4, 608, 608]",19,1.2392896102083748,500051954,5.3468823,2.6122682,0.193359375,0.313232421875,-474.4337064517108
backpack,420916,1024,640,"backpack, a red park bench that is by some water","[149, 128, 512, 512]","[0, 0, 1024, 640]",13,4.935232001165579,168571695,5.3472004,2.5217857,0.544921875,0.389404296875,-523.467878782837
backpack,172595,1024,576,"backpack, A desk with multiple computers inside a office ","[176, 64, 512, 512]","[0, 0, 1024, 576]",17,5.364498942795593,388528798,4.485134,2.2031672,0.583984375,0.416015625,-234.91314441476632
backpack,89648,1024,683,"backpack, A crowd of people sitting down next to each other.","[512, 39, 512, 512]","[0, 0, 1024, 680]",42,1.5863877763309675,1701289843,5.844545,2.8702085,0.1451416015625,0.287841796875,-386.4474993100448
backpack,413247,1024,681,"backpack, A laptop and a computer mouse on a desk.","[512, 169, 512, 512]","[0, 1, 1024, 680]",22,1.0506344561145364,644859804,5.6906276,2.6865616,0.053497314453125,0.254638671875,-297.1379161523455
backpack,351810,1024,768,"backpack, many backpacks and luggage bags piled up on top of each other","[104, 226, 512, 512]","[0, 0, 1024, 768]",48,8.475592932741314,2038980991,5.2857847,2.5288098,0.5458984375,0.417236328125,-448.73881280461273
backpack,16451,612,612,"backpack, A bunch of surfboards that are in the sand.","[100, 100, 512, 512]","[4, 4, 608, 608]",27,9.84972019857558,906032039,4.784127,2.3598452,0.055206298828125,0.2467041015625,-472.70966614693657
backpack,180296,930,523,"backpack, a  doll sitting on top of an open suitcase ","[418, 11, 512, 512]","[2, 3, 928, 520]",40,8.061488674054116,1579638338,6.4709253,2.9193563,0.181884765625,0.354736328125,-364.537259246208
backpack,356427,1024,683,"backpack, A man standing next to train tracks with bags of luggage.","[496, 171, 512, 512]","[0, 3, 1024, 680]",32,3.8404314098044585,1182859276,5.4781013,2.647999,0.095703125,0.348388671875,-337.0866432304026
backpack,361551,768,1024,"backpack, Some are standing outside a building with suitcases.","[67, 505, 512, 512]","[0, 0, 768, 1024]",31,7.348003341305084,1131072087,4.9374127,2.4611096,0.60546875,0.40966796875,-559.3033348853951
backpack,186449,697,1023,"backpack, An elderly woman sits on a bench with a crowd behind her.","[0, 0, 512, 512]","[0, 0, 696, 1016]",44,3.69262965878422,1827983318,4.9062753,2.3666048,0.54443359375,0.45849609375,-643.0651573121654
backpack,230993,1023,653,"backpack, Two people walk down the street with umbrellas.","[143, 141, 512, 512]","[0, 5, 1016, 648]",33,7.666736345881738,1217393872,5.109392,2.4726186,0.03985595703125,0.270263671875,-408.829237998496
backpack,107094,1024,681,"backpack, A man riding skis on top of snow covered ground.","[512, 95, 512, 512]","[0, 1, 1024, 680]",10,3.517724977734583,29768455,4.732945,2.377403,0.181640625,0.2734375,-443.1124346320662
backpack,303713,683,1024,"backpack, A man swinging a tennis racket at a tennis ball.","[0, 512, 512, 512]","[0, 0, 680, 1024]",16,8.043318237953184,335554307,4.6823516,2.229541,0.0044593811035156,0.2056884765625,-398.8112611367292
backpack,30828,1024,683,"backpack, A person with an orange blanket covering them, sleeping on a wooden park bench.","[0, 84, 512, 512]","[0, 0, 1024, 680]",31,9.88966672205119,1130085198,4.443283,2.2045903,0.116943359375,0.328369140625,-411.3379749691076
backpack,403565,715,1024,"backpack, A man wearing a bike helmet standing next to a bicycle.","[186, 512, 512, 512]","[3, 0, 712, 1024]",48,9.876146943522146,2002619399,5.026571,2.4221535,0.0010337829589843,0.1844482421875,-368.0894845342391
backpack,361586,930,523,"backpack, several people are purchasing tickets at a bus station","[418, 11, 512, 512]","[2, 3, 928, 520]",25,8.945763102970082,807025520,5.8618093,2.7236097,0.0179901123046875,0.2161865234375,-350.3153790731392
backpack,568439,1024,719,"backpack, A couple of double high buses that are in the street.","[512, 164, 512, 512]","[0, 7, 1024, 712]",12,9.21529046605526,126659316,5.24562,2.5505214,0.28125,0.341796875,-248.4866265436117
backpack,346232,683,1024,"backpack, these people are walking together down a road","[0, 379, 512, 512]","[0, 0, 680, 1024]",20,7.373862226928552,544610078,5.668086,2.7855594,0.1114501953125,0.291748046875,-206.9806856673543
backpack,32887,1024,768,"backpack, a person with a backpack and a walking stick ","[512, 96, 512, 512]","[0, 0, 1024, 768]",19,5.990471895371578,502803994,5.1670794,2.5387313,0.57568359375,0.36767578125,-461.4159880969533
backpack,203389,720,540,"backpack, A group of young people riding motorcycles near a river.","[48, 28, 512, 512]","[0, 4, 720, 536]",11,9.309143872631983,78112099,5.060015,2.4347727,0.27880859375,0.296875,-259.90467486594434
backpack,568981,1023,682,"backpack, a man that is taking a picture of a little boy","[0, 170, 512, 512]","[0, 2, 1016, 680]",50,1.807577018688813,2135232880,5.4523225,2.5682864,0.0044784545898437,0.232421875,-350.09809218405826
backpack,9891,1024,768,"backpack, The man is loading luggage suitcases onto the cart in the parking lot. ","[466, 256, 512, 512]","[0, 0, 1024, 768]",29,4.331183906260067,1006074700,5.428127,2.590118,0.45166015625,0.353271484375,-318.60718501330666
backpack,84650,1024,768,"backpack, a cat laying on a luggage bag on the ground","[512, 116, 512, 512]","[0, 0, 1024, 768]",32,6.453450491583366,1171239504,5.898673,2.6954958,0.32373046875,0.33544921875,-310.242639443778
backpack,363188,1024,680,"backpack, People dressed as zombies walking down the street.","[171, 114, 512, 512]","[0, 0, 1024, 680]",43,5.29956907226817,1754370252,4.392674,2.1846566,0.164794921875,0.266357421875,-348.2190114288928
backpack,179898,1024,768,"backpack, A little kid holding up two hot dogs in buns.","[384, 0, 512, 512]","[0, 0, 1024, 768]",30,8.135720924475056,1084998680,5.579166,2.7166808,0.09234619140625,0.269287109375,-421.53557814542046
backpack,192699,1023,731,"backpack, Two people stand near a bike wearing helmets.","[511, 219, 512, 512]","[7, 3, 1016, 728]",46,2.755777541311419,1933072943,4.627123,2.2950027,0.0174407958984375,0.236083984375,-443.5017887337103
backpack,132796,1024,681,"backpack, Group of people riding on seats on top of elephants.","[501, 0, 512, 512]","[0, 0, 1024, 680]",25,1.5602814767499709,825039645,4.6102586,2.287642,0.193115234375,0.2454833984375,-372.192773863964
backpack,280779,1024,801,"backpack, A young man riding skis across a snow covered slope.","[341, 85, 512, 512]","[0, 0, 1024, 800]",27,2.138665665159264,914582800,4.9747534,2.4388819,0.08880615234375,0.235107421875,-553.2682435544914
backpack,309964,1024,683,"backpack, The people are sitting outside under a large umbrella.","[203, 171, 512, 512]","[0, 3, 1024, 680]",11,9.665034264254464,86984129,4.858384,2.3410869,0.2122802734375,0.331298828125,-494.9211577723445
backpack,466125,683,1024,"backpack, A child with a backpack underneath an umbrella.","[0, 473, 512, 512]","[0, 0, 680, 1024]",30,2.194970835064874,1058021795,4.9590397,2.4876292,0.422119140625,0.2958984375,-440.2778607080272
backpack,150224,1024,683,"backpack, Family and friends are together at the beach.","[512, 171, 512, 512]","[0, 3, 1024, 680]",29,3.0348849462685425,1014848104,5.1091657,2.5196557,0.16650390625,0.2496337890625,-544.0407551349476
backpack,156372,536,800,"backpack, A deck area with a chair and two backpacks, looking over a large body of calm water.","[0, 288, 512, 512]","[0, 0, 536, 800]",39,4.393507338605968,1521018998,5.0795445,2.4499633,0.615234375,0.44873046875,-302.2587919872108
backpack,424162,1023,819,"backpack, a couple of women that have a dog on a leash","[511, 64, 512, 512]","[7, 0, 1016, 816]",28,6.610794772067163,946897390,5.378003,2.610171,0.1055908203125,0.2685546875,-353.5100638478525
backpack,325347,1023,575,"backpack, A man on a tennis court playing tennis","[166, 0, 512, 512]","[0, 0, 1016, 568]",23,8.038865176023725,693415842,5.0223,2.5002313,0.492431640625,0.393798828125,-347.4883478825682
backpack,157928,1024,768,"backpack, Two men with backpacks on, one of which is fastening skis to a sled.","[336, 0, 512, 512]","[0, 0, 1024, 768]",17,1.7078400439235306,411317620,5.5958223,2.7763667,0.59326171875,0.409912109375,-406.7856376722939
backpack,579307,768,1024,"backpack, Man and son standing on the beach side with a self assembled kite.","[110, 115, 512, 512]","[0, 0, 768, 1024]",40,9.381137078287315,1594737559,4.933406,2.39034,0.06622314453125,0.2425537109375,-617.7143976235739
backpack,492284,1024,768,"backpack, A woman pets the cat that is standing on the rocks.","[512, 41, 512, 512]","[0, 0, 1024, 768]",20,7.865125519139077,548344684,5.2247133,2.5020726,0.66015625,0.406494140625,-342.8519130054133
backpack,250619,1023,770,"backpack, A woman sits under the shade of an umbrella at the beach.","[88, 258, 512, 512]","[0, 2, 1016, 768]",10,3.888677059518759,27700026,4.497488,2.2369733,0.217529296875,0.30126953125,-274.4492297285715
backpack,261888,1023,682,"backpack, a couple of people that are biking down a road","[469, 88, 512, 512]","[7, 2, 1016, 680]",46,2.7039881748540786,1901078373,4.7061214,2.3609269,0.4228515625,0.38623046875,-417.8042430173027
backpack,368900,1024,768,"backpack, A cluttered room filled with a tv and a kitchen. ","[0, 219, 512, 512]","[0, 0, 1024, 768]",33,6.363575990083298,1245682962,5.95983,2.8256269,0.0018138885498046,0.1661376953125,-278.40059797507706
backpack,235784,1023,734,"backpack, A women who is walking in the snow on skis.","[117, 131, 512, 512]","[0, 6, 1016, 728]",12,6.352203040853406,143465762,5.4401994,2.6468055,0.42822265625,0.3330078125,-402.607715560986
banana,269314,1024,768,"banana, A cat sitting on top of a banana tree.","[41, 256, 512, 512]","[0, 0, 1024, 768]",31,8.832242835730762,1145441010,4.9867687,2.4110315,0.1265869140625,0.379150390625,-1074.3176982642756
banana,575500,533,800,"banana, Multiple banana bunches growing on a leafy tree","[0, 7, 512, 512]","[0, 0, 528, 800]",25,3.5813548817879983,821827540,4.95631,2.342264,0.274658203125,0.3984375,-454.0664660785942
banana,480275,1024,754,"banana, A wooden wagon with wheels topped with bunches of bananas.","[450, 0, 512, 512]","[0, 0, 1024, 752]",26,6.428333350464056,847200043,4.3260584,2.0353928,0.0771484375,0.388427734375,-325.51695818057806
banana,407574,765,1024,"banana, A green stand holding several bananas for sale. ","[61, 484, 512, 512]","[0, 0, 760, 1024]",24,7.997806746281609,757855135,5.5287557,2.713885,0.1353759765625,0.389892578125,-688.7308746651081
banana,457262,612,612,"banana, A table topped with bananas next to a coin.","[0, 0, 512, 512]","[0, 0, 608, 608]",35,7.444671666432088,1340589947,4.9935126,2.4712877,0.4228515625,0.380615234375,-480.9609988161026
banana,453708,1024,683,"banana, A person carrying a crate on their shoulder that is full of bananas.","[325, 0, 512, 512]","[0, 0, 1024, 680]",47,9.238421084414568,1938609420,5.661972,2.679605,0.248046875,0.394775390625,-573.9944709013052
banana,312406,1024,768,"banana, A couple of blocks of chocolate sitting next to bananas and pudding.","[12, 140, 512, 512]","[0, 0, 1024, 768]",44,8.743542842645962,1786372013,5.925088,2.7012281,0.34326171875,0.39208984375,-969.1716752772788
banana,271471,1023,685,"banana, A bunch of bananas on a plate on a counter.","[169, 80, 512, 512]","[0, 0, 1016, 680]",48,9.264138661438862,2014448640,5.536531,2.706625,0.355224609375,0.416015625,-688.3041415863538
banana,163951,683,1024,"banana, An assortment of items including a miniature boom box, chair, banana and flashlight.","[132, 267, 512, 512]","[3, 0, 680, 1024]",19,1.2392896102083748,500051954,4.263778,2.1060054,0.533203125,0.379150390625,-889.3961153489637
banana,78959,615,1024,"banana, A strange plant hanging off a banana tree.","[103, 0, 512, 512]","[7, 0, 608, 1024]",13,4.935232001165579,168571695,4.793891,2.3536987,0.038238525390625,0.2890625,-864.6663012378585
banana,560256,1024,768,"banana, A market area with boxes of fruit that includes bananas and pineapples.","[73, 256, 512, 512]","[0, 0, 1024, 768]",17,5.364498942795593,388528798,4.860137,2.3543785,0.22412109375,0.3984375,-421.41848317026256
banana,8844,1024,682,"banana, Smiling lady standing by two bunches of bananas on a table.","[512, 170, 512, 512]","[0, 2, 1024, 680]",42,1.5863877763309675,1701289843,5.107059,2.5109143,0.70654296875,0.38232421875,-654.8201654895993
banana,128658,1024,683,"banana, A waffle with syrup, a scoop of ice cream, and sliced strawberries and bananas on a plate.","[493, 87, 512, 512]","[0, 3, 1024, 680]",22,1.0506344561145364,644859804,4.952075,2.3421288,0.035858154296875,0.3857421875,-637.4513961821119
banana,378515,531,799,"banana, A man kneeling down over piles of bananas.","[19, 287, 512, 512]","[3, 7, 528, 792]",48,8.475592932741314,2038980991,4.456235,2.247836,0.01995849609375,0.2359619140625,-544.0147123571628
banana,581781,1024,765,"banana, A store display filled with ripe, unripe bananas and other fruit.","[200, 170, 512, 512]","[0, 5, 1024, 760]",27,9.84972019857558,906032039,5.150891,2.4474585,0.2218017578125,0.396728515625,-704.4743960871276
banana,189078,1000,667,"banana, Variety of fruits such as bananas, oranges, and apples on a platter.","[0, 0, 512, 512]","[0, 0, 1000, 664]",40,8.061488674054116,1579638338,4.76852,2.368953,0.285888671875,0.381591796875,-622.9247244753985
banana,66706,612,612,"banana, A plate topped with banana slice covered pan cakes.","[0, 50, 512, 512]","[0, 2, 608, 608]",32,3.8404314098044585,1182859276,4.1592884,2.0981376,0.161865234375,0.3896484375,-630.2434130342199
banana,548506,1024,680,"banana, There is some apples, a pear, and a bunch of bananas. ","[491, 0, 512, 512]","[0, 0, 1024, 680]",31,7.348003341305084,1131072087,5.0294976,2.5269332,0.431884765625,0.4130859375,-1094.7651983564845
banana,236721,1024,768,"banana, The meal is ready on the tray to be eaten.","[512, 0, 512, 512]","[0, 0, 1024, 768]",44,3.69262965878422,1827983318,5.5218964,2.6060493,0.1688232421875,0.379150390625,-489.23613133614
banana,389812,800,600,"banana, A smiling man holds a bunch of freshly picked bananas","[188, 88, 512, 512]","[0, 0, 800, 600]",33,7.666736345881738,1217393872,5.0791464,2.5401416,0.3369140625,0.373046875,-458.9246867640536
banana,66231,1024,683,"banana, a number of people in a kitchen preparing food ","[512, 171, 512, 512]","[0, 3, 1024, 680]",10,3.517724977734583,29768455,4.605066,2.2800274,0.0908203125,0.314453125,-548.7888872923495
banana,509131,1024,680,"banana, A bunch of mini bananas are hanging above a bowl of apples and oranges.","[392, 87, 512, 512]","[0, 0, 1024, 680]",16,8.043318237953184,335554307,5.243409,2.555517,0.6337890625,0.442626953125,-302.90245052865043
banana,13004,600,800,"banana, a banana is laying on a small plate","[54, 34, 512, 512]","[0, 0, 600, 800]",31,9.88966672205119,1130085198,4.2560143,2.146034,0.34716796875,0.40283203125,-738.2676164680313
banana,535253,612,612,"banana, A shopping cart full of food that includes bananas and milk.","[100, 100, 512, 512]","[4, 4, 608, 608]",48,9.876146943522146,2002619399,4.428506,2.1768343,0.140380859375,0.3837890625,-578.9544962760572
banana,479448,800,600,"banana, Belgium waffle loaded with bananas topped with powdered sugar with syrup and more fruit as a garnish.","[57, 0, 512, 512]","[0, 0, 800, 600]",25,8.945763102970082,807025520,4.4800267,2.2599726,0.14697265625,0.393798828125,-558.3598944698742
banana,279769,1024,768,"banana, A peeled banana on a table next to an unpeeled banana.","[194, 0, 512, 512]","[0, 0, 1024, 768]",12,9.21529046605526,126659316,4.0428963,2.085003,0.64892578125,0.425537109375,-650.616772191376
banana,313562,1024,768,"banana, A woman selling raw carrots at an outdoor market","[0, 232, 512, 512]","[0, 0, 1024, 768]",20,7.373862226928552,544610078,4.3188834,2.0813093,0.053863525390625,0.396484375,-428.861042920797
banana,429281,768,1024,"banana, a table full of bananas being sold outside","[0, 147, 512, 512]","[0, 0, 768, 1024]",19,5.990471895371578,502803994,6.1027656,2.8979747,0.059661865234375,0.377197265625,-516.6909381707226
banana,474854,678,1024,"banana, a person eating a banana sitting at a table","[120, 319, 512, 512]","[6, 0, 672, 1024]",11,9.309143872631983,78112099,4.9300747,2.4915373,0.1669921875,0.376220703125,-464.3031738920588
banana,69356,1024,808,"banana, A woman standing in front of a fruit stand.","[233, 296, 512, 512]","[0, 0, 1024, 808]",50,1.807577018688813,2135232880,4.8128066,2.3705246,0.20703125,0.400390625,-816.4410640813046
banana,112378,1024,768,"banana, A wooden table topped with a bunch of green bananas.","[191, 256, 512, 512]","[0, 0, 1024, 768]",29,4.331183906260067,1006074700,4.5859313,2.2067194,0.1693115234375,0.35693359375,-762.9146362099445
banana,63740,1024,768,"banana, Two computers sitting on top of a desk.","[319, 256, 512, 512]","[0, 0, 1024, 768]",32,6.453450491583366,1171239504,5.58478,2.7365375,0.12103271484375,0.274169921875,-472.9827647982022
banana,90891,1024,689,"banana, Five men are selling a large amount of bananas.","[407, 177, 512, 512]","[0, 1, 1024, 688]",43,5.29956907226817,1754370252,3.9064999,1.952524,0.45556640625,0.342529296875,-612.6743100921226
banana,147740,800,600,"banana, A woman walking while carrying bananas on her hat.","[131, 0, 512, 512]","[0, 0, 800, 600]",30,8.135720924475056,1084998680,5.2120385,2.5128264,0.0755615234375,0.375244140625,-400.2866526374305
banana,349480,1024,720,"banana, A group of stuffed bears that are sitting on fake grass.","[278, 208, 512, 512]","[0, 0, 1024, 720]",46,2.755777541311419,1933072943,4.3148823,2.2445078,0.395263671875,0.338623046875,-510.15283711947495
banana,499031,683,1024,"banana, Three women standing in front of a sign about bananas and a bunch of bananas.","[0, 164, 512, 512]","[0, 0, 680, 1024]",25,1.5602814767499709,825039645,4.314464,2.2030027,0.14697265625,0.3623046875,-571.0002513585196
banana,352618,1024,681,"banana, Raw mango and orange and ripe bananas in a bowl","[0, 114, 512, 512]","[0, 1, 1024, 680]",27,2.138665665159264,914582800,5.142491,2.481735,0.363037109375,0.392822265625,-572.3503913674981
banana,227187,1024,768,"banana, a table that has some bananas on it","[58, 245, 512, 512]","[0, 0, 1024, 768]",11,9.665034264254464,86984129,3.5841668,1.7629043,0.68798828125,0.384765625,-529.953978653359
banana,480122,1024,1024,"banana, A bowl of bananas sitting on the kitchen table.","[243, 393, 512, 512]","[0, 0, 1024, 1024]",30,2.194970835064874,1058021795,4.5481553,2.3179667,0.2103271484375,0.42431640625,-475.4431905933284
