category,image_id,width,height,prompt,bbox_512,num_inference_steps,guidance_scale,seed,orig_nima_mean,orig_nima_std,orig_giqa,orig_itm,orig_cos
airplane,214205,1024,702,"airplane, An airplane flying high with a full moon in the background. ","[0, 14, 1024, 688]",4,0,644859804,4.8643317,1.5685374,-521.0571239316978,0.367919921875,0.410888671875
airplane,348881,1024,739,"airplane, A large white airplane and a person on a lot.","[0, 0, 1024, 736]",6,0,2038980991,3.5931318,1.2578927,-510.7777108606085,0.273193359375,0.41943359375
airplane,1761,683,1024,"airplane, A sky photo to jumbo jet airplanes over a bridge.","[11, 0, 672, 1024]",4,0,906032039,3.7009118,1.3062326,-559.4717122542997,0.33642578125,0.427734375
airplane,99054,683,1024,"airplane, A large jet airplane sitting on a tarmac at an airport.","[0, 0, 672, 1024]",5,0,1579638338,4.749752,1.4845135,-322.0458365059296,0.317138671875,0.4150390625
airplane,199977,768,1024,"airplane, The airplane in the sky is doing tricks while spitting out smoke. ","[0, 0, 768, 1024]",5,0,1182859276,5.1859612,1.5653566,-425.3918326888133,0.1666259765625,0.392578125
airplane,502599,1023,681,"airplane, A group of airplanes floating over the ocean.","[0, 9, 1008, 672]",5,0,1131072087,4.9967427,1.4201084,-352.8835582821391,0.280029296875,0.35791015625
airplane,488270,1023,682,"airplane, An airplane with wheels wheels barely off ground tilted slightly upward from the pavement to the blue sky.","[15, 10, 1008, 672]",6,0,1827983318,4.225073,1.4736923,-305.7381183006846,0.349609375,0.438720703125
airplane,229747,1024,866,"airplane, A airplane that is flying in the sky.","[0, 0, 1024, 864]",5,0,1217393872,5.35958,1.5526814,-395.9586301907782,0.2685546875,0.4140625
airplane,22396,911,704,"airplane, a plane flying by a bright moon in the sky
","[15, 0, 896, 704]",3,0,29768455,4.28648,1.5576825,-514.072007919395,0.264892578125,0.43115234375
airplane,189828,612,612,"airplane, Aerial view of an airplane ascending in to the sky.","[4, 0, 608, 608]",3,0,335554307,3.5605056,1.3820821,-425.5241595047007,0.466064453125,0.384765625
airplane,163746,1023,781,"airplane, Girls playing on a beach with an airplane flying above them. ","[0, 0, 1008, 768]",5,0,1130085198,4.585011,1.5505038,-344.365320288628,0.3115234375,0.4072265625
airplane,449996,1023,685,"airplane, Some parked airplanes and one airplane in the sky","[0, 13, 1008, 672]",6,0,2002619399,4.1840568,1.524121,-505.3595088549944,0.256591796875,0.4462890625
airplane,293324,1024,649,"airplane, Multiple commercial passenger airplanes at their gate at an airport.","[0, 9, 1024, 640]",4,0,807025520,4.716862,1.4353682,-249.04244734039,0.25439453125,0.410888671875
airplane,571857,1023,681,"airplane, A couple of people sitting in chairs behind an airplane.","[15, 0, 1008, 672]",3,0,126659316,4.6429048,1.5864758,-502.00614287445023,0.1885986328125,0.3740234375
airplane,217060,1024,704,"airplane, The airplane is flying near a cloud in the sky. ","[0, 0, 1024, 704]",4,0,544610078,4.357396,1.5878755,-431.9903120041074,0.2374267578125,0.4140625
airplane,135673,1024,683,"airplane, Two airplanes having a close call in the sky.","[0, 11, 1024, 672]",3,0,502803994,3.6388066,1.4360784,-461.4533748217909,0.34814453125,0.418701171875
hair drier,350002,683,1024,"hair drier, Woman in party dress sitting in beauty shop with hair dryer.","[0, 0, 672, 1024]",4,0,821827540,5.0106926,1.4851851,-486.2349687957167,0.191162109375,0.37451171875
hair drier,569976,768,1024,"hair drier, A group of people stare up at something out of the frame.","[0, 0, 768, 1024]",4,0,847200043,5.5087504,1.4718181,-557.0758881890747,0.60693359375,0.3291015625
bear,318080,1024,768,"bear, two different bears fight with each other behind a log","[0, 0, 1024, 768]",5,0,1145441010,5.7687054,1.3622556,-187.2187349280512,0.1954345703125,0.400390625
bear,560266,1024,680,"bear, Two brown bears swimming together in the water.","[0, 0, 1024, 672]",4,0,821827540,6.177826,1.2206624,-155.09102426063782,0.169677734375,0.3759765625
bear,312586,1024,685,"bear, This is a picture of three bears in a field.","[0, 13, 1024, 672]",4,0,847200043,5.0461645,1.3320401,-131.885398681477,0.4150390625,0.386474609375
bear,308753,1024,768,"bear, an animal laying down on top of some rocks.","[0, 0, 1024, 768]",4,0,757855135,5.5640354,1.5001601,-94.1211425110682,0.2415771484375,0.347412109375
bear,20247,1023,731,"bear, Two bears, one running on some rocky soil.","[15, 11, 1008, 720]",5,0,1340589947,6.5014963,1.2277298,-127.50897845256826,0.478515625,0.42529296875
bear,471450,1024,768,"bear, Three bears standing in a field outside. ","[0, 0, 1024, 768]",6,0,1938609420,4.708382,1.3488725,-267.70678254260656,0.453125,0.371826171875
bear,104603,1024,685,"bear, A bear walks through tall grass near several trees.","[0, 13, 1024, 672]",6,0,1786372013,4.801505,1.4073613,-103.54238447322994,0.411376953125,0.379150390625
bear,203546,1024,731,"bear, The bear is inside of the river stream. ","[0, 0, 1024, 720]",6,0,2014448640,5.967585,1.2262627,-294.89960265591617,0.314697265625,0.38330078125
bear,79144,1024,732,"bear, Two young black bears playing at the zoo","[0, 0, 1024, 720]",3,0,500051954,5.494953,1.3240751,-70.54494789891463,0.129150390625,0.313720703125
bear,71756,1024,819,"bear, Two black bears captured together in night vision.","[0, 0, 1024, 816]",3,0,388528798,6.0344214,1.3689481,-245.56158422289067,0.2890625,0.39111328125
bear,573391,1024,768,"bear, A bear walking in the forest in the early morning","[0, 0, 1024, 768]",6,0,1701289843,4.059655,1.3429312,-338.7766086870992,0.439208984375,0.366943359375
bear,217948,1024,680,"bear, Three brown bears looking out a cage at the ground below.","[0, 0, 1024, 672]",4,0,644859804,6.2240767,1.2817074,-460.1661909457698,0.3984375,0.37353515625
bear,453981,900,600,"bear, A mother black bear holding a baby black bear.","[0, 8, 896, 592]",6,0,2038980991,5.3826365,1.3879093,-60.089218577611504,0.1259765625,0.338623046875
bear,572517,1023,678,"bear, a polar bear following a big winged bird","[0, 0, 1008, 672]",4,0,906032039,5.88557,1.3004953,-113.9097329012984,0.32958984375,0.37841796875
bear,85478,1024,644,"bear, There is a polar bear swimming in the water.","[0, 4, 1024, 640]",5,0,1579638338,6.110312,1.2778414,-226.8454129758668,0.1199951171875,0.3505859375
bear,173033,768,1024,"bear, A replica of a bear and her cub in a glass case in an exhibit.","[0, 0, 768, 1024]",5,0,1182859276,5.5869226,1.443151,-51.20164946836256,0.3740234375,0.37841796875
bear,461036,1024,680,"bear, Some leafy trees are hiding a black bear.","[0, 8, 1024, 672]",5,0,1131072087,5.2751813,1.3643261,-286.3468922987045,0.402099609375,0.3798828125
bear,431727,1024,683,"bear, A pair of bears climb up in a tree.","[0, 11, 1024, 672]",5,0,1217393872,4.9956784,1.3100163,-502.2319844383783,0.2330322265625,0.361572265625
bear,165500,1024,768,"bear, three short furry bears sniffing in some weeds next to a grassy bank ","[0, 0, 1024, 768]",3,0,29768455,4.6964726,1.3151875,-338.0272708753444,0.352294921875,0.352294921875
tennis racket,64523,1024,710,"tennis racket, A black and white photograph of a female tennis club.","[0, 6, 1024, 704]",5,0,1145441010,5.852601,1.4322534,-588.7088591251354,0.8466796875,0.449462890625
tennis racket,39951,1024,712,"tennis racket, A young boy taking a swing at a tennis ball","[0, 8, 1024, 704]",4,0,821827540,5.54611,1.552902,-938.496752664032,0.7333984375,0.472412109375
tennis racket,410650,1024,768,"tennis racket, A woman hitting a tennis ball with a tennis racket","[0, 0, 1024, 768]",4,0,757855135,4.0843406,1.3830507,-574.8557773659791,0.43212890625,0.364990234375
tennis racket,271402,678,1024,"tennis racket, Two young girls with a tennis racket and a scooter.","[6, 0, 672, 1024]",5,0,1340589947,5.7321563,1.4195138,-1376.9778710600551,0.65869140625,0.4169921875
tennis racket,127530,1023,704,"tennis racket, A man on a court swinging a tennis racket.","[15, 0, 1008, 704]",6,0,1938609420,5.224463,1.5398924,-1090.9273988269756,0.68896484375,0.424560546875
tennis racket,449579,1024,683,"tennis racket, Woman in red shirt holding up a tennis racket on a court. ","[0, 0, 1024, 672]",6,0,1786372013,5.335298,1.608288,-761.157013773555,0.83984375,0.47802734375
tennis racket,475191,1024,768,"tennis racket, A blurry woman is holding a tennis racquet in the air","[0, 0, 1024, 768]",6,0,2014448640,4.9498854,1.660204,-373.239195867216,0.42236328125,0.277587890625
tennis racket,39480,1024,683,"tennis racket, a woman walking on a tennis court holding a tennis racket.","[0, 11, 1024, 672]",3,0,500051954,5.007392,1.5300447,-615.8370433961043,0.75830078125,0.469970703125
tennis racket,382009,1024,683,"tennis racket, A person on a court with a tennis racket.","[0, 11, 1024, 672]",3,0,168571695,5.2747583,1.5646541,-854.655365684687,0.77685546875,0.501953125
tennis racket,78915,769,1024,"tennis racket, A tennis player hits a high ball in front of an audience. ","[0, 0, 768, 1024]",3,0,388528798,4.1175795,1.4973004,-481.8029622740082,0.58544921875,0.375244140625
tennis racket,431693,1023,682,"tennis racket, A person on a court with a tennis racket.","[0, 10, 1008, 672]",6,0,1701289843,4.9152656,1.5456884,-907.3399751833676,0.80517578125,0.4267578125
tennis racket,351823,813,1024,"tennis racket, A man holds a tennis racket on a tennis court.","[0, 0, 800, 1024]",4,0,644859804,4.3917127,1.4863362,-488.9755107992901,0.64501953125,0.352783203125
tennis racket,203864,1023,786,"tennis racket, Two men with tennis rackets playing doubles tennis.","[15, 2, 1008, 784]",6,0,2038980991,4.9609685,1.5600733,-758.8635364498573,0.66845703125,0.43701171875
tennis racket,33368,683,1024,"tennis racket, A person standing on a blue floor holding a tennis racket","[0, 0, 672, 1024]",4,0,906032039,4.290438,1.4962113,-545.0672300400342,0.80419921875,0.470458984375
tennis racket,438876,800,533,"tennis racket, man with a tennis racket waits for the ball","[0, 5, 800, 528]",5,0,1579638338,4.846416,1.4714444,-1445.7731299201112,0.7919921875,0.46728515625
tennis racket,183391,1011,1024,"tennis racket, Man swinging tennis racket while group of people watches","[0, 0, 1008, 1024]",5,0,1182859276,5.6856775,1.4653511,-342.21136231224,0.75048828125,0.403564453125
tennis racket,79969,681,1024,"tennis racket, a tennis player hitting a serve on a court","[9, 0, 672, 1024]",5,0,1131072087,5.3881636,1.5967939,-601.4313083099855,0.578125,0.321533203125
tennis racket,37988,1024,768,"tennis racket, a woman is throwing a tennis ball to serve","[0, 0, 1024, 768]",6,0,1827983318,4.4123373,1.5062629,-630.4125703119262,0.845703125,0.482666015625
tennis racket,152686,1024,640,"tennis racket, a man is swinging a tennis racket on a court","[0, 0, 1024, 640]",3,0,29768455,4.408884,1.4906306,-1572.0941363556103,0.7568359375,0.46337890625
tennis racket,406129,685,1023,"tennis racket, A man reaches his tennis racket up to hit the ball.","[13, 0, 672, 1008]",5,0,1130085198,5.549955,1.4478222,-1354.666900431224,0.7744140625,0.451416015625
tennis racket,409211,1024,683,"tennis racket, A man standing on a clay tennis court with a racquet.","[0, 0, 1024, 672]",6,0,2002619399,5.5721974,1.4413272,-1033.647548560111,0.74951171875,0.45849609375
tennis racket,373382,768,1024,"tennis racket, People sitting in the stands watching a man play tennis.","[0, 0, 768, 1024]",4,0,807025520,5.200377,1.4706497,-1000.8605553309828,0.810546875,0.47021484375
tennis racket,522889,679,1023,"tennis racket, A woman who is running and swinging a tennis racket.","[0, 0, 672, 1008]",3,0,126659316,4.947441,1.6474483,-1236.5525967238275,0.81787109375,0.48046875
tennis racket,182923,600,800,"tennis racket, A woman swinging a tennis racquet on a tennis court.","[0, 0, 592, 800]",4,0,544610078,4.4290905,1.5297914,-361.77601543950846,0.040252685546875,0.232666015625
tennis racket,266892,1024,683,"tennis racket, a woman standing at the end of a tennis court holding up a racket ","[0, 0, 1024, 672]",3,0,502803994,4.1614923,1.3919336,-683.4663148786477,0.38818359375,0.353271484375
tennis racket,55950,682,1024,"tennis racket, a man is on a court with a tennis racket","[0, 0, 672, 1024]",3,0,78112099,5.069975,1.489401,-874.9793531385201,0.76806640625,0.4912109375
tennis racket,199310,683,1024,"tennis racket, An old person is holding a tennis racket. ","[0, 0, 672, 1024]",6,0,2135232880,5.7236977,1.3522243,-713.0460591505205,0.8310546875,0.46044921875
tennis racket,80022,1023,682,"tennis racket, A tennis player wearing white holds out his tennis racket as a ball floats in the air near it.","[15, 10, 1008, 672]",4,0,1006074700,4.405036,1.5285751,-1261.048907838442,0.74169921875,0.4375
tennis racket,384670,1024,768,"tennis racket, Two people on a blue and green tennis court.","[0, 0, 1024, 768]",5,0,1171239504,4.427839,1.470743,-660.2787510424741,0.7822265625,0.45849609375
tennis racket,485027,539,1024,"tennis racket, A tennis player is serving a tennis ball.","[11, 0, 528, 1024]",6,0,1754370252,4.906531,1.5297884,-1292.0781661606777,0.78466796875,0.495361328125
tennis racket,112298,1024,768,"tennis racket, A person standing in a room near a tennis racket.","[0, 0, 1024, 768]",5,0,1084998680,5.7792716,1.4602139,-511.18832336739433,0.54638671875,0.365234375
tennis racket,96427,1024,683,"tennis racket, Young boys in the gym holding tennis rackets","[0, 0, 1024, 672]",6,0,1933072943,5.2547965,1.5465266,-595.9985874595211,0.83349609375,0.469482421875
tennis racket,554156,1023,685,"tennis racket, A man holding a tennis racket in the air","[15, 0, 1008, 672]",4,0,825039645,6.0521855,1.4541683,-867.1148710139776,0.7939453125,0.447998046875
tennis racket,369323,771,1024,"tennis racket, A woman on a tennis court, holding up a tennis racket with both hands.","[3, 0, 768, 1024]",4,0,914582800,5.086367,1.4816781,-803.9758518704537,0.8349609375,0.49609375
tennis racket,90284,1024,1022,"tennis racket, A woman leans forward while swinging a tennis racket.","[0, 14, 1024, 1008]",3,0,86984129,5.67288,1.5294911,-328.0779764585102,0.76806640625,0.46728515625
tennis racket,187055,680,1024,"tennis racket, A girl dressed in black holds up a tennis racket as a man in a white t-shirt stands in front of her.","[8, 0, 672, 1024]",4,0,1058021795,5.0615573,1.5535283,-507.7182803619708,0.61376953125,0.415283203125
tennis racket,341681,1024,683,"tennis racket, A man with a tennis racket is in the air with legs spread apart next to a tennis ball in motion.","[0, 0, 1024, 672]",4,0,1014848104,4.155948,1.5515412,-499.066200593184,0.828125,0.424560546875
tennis racket,343218,1023,685,"tennis racket, a man with a tennis racket gets ready to swing his racket ","[0, 0, 1008, 672]",5,0,1521018998,5.269033,1.5792307,-290.9543934827732,0.8544921875,0.47314453125
tennis racket,403122,683,1024,"tennis racket, Female tennis player preparing to serve the ball","[11, 0, 672, 1024]",4,0,946897390,4.7527347,1.5186958,-1183.5072495143074,0.68359375,0.436279296875
tennis racket,126137,1024,683,"tennis racket, A young man standing on top of a tennis court holding a racquet.","[0, 11, 1024, 672]",4,0,693415842,4.0692677,1.4700255,-762.2426508546175,0.7470703125,0.467041015625
tennis racket,361147,667,1024,"tennis racket, A tennis player shows controlled excitement while a crowd watches.","[0, 0, 656, 1024]",3,0,411317620,6.023561,1.5159476,-850.9358390934774,0.693359375,0.427001953125
tennis racket,119995,600,641,"tennis racket, a tennis player stretching to hit a tennis ball ","[8, 0, 592, 640]",5,0,1594737559,3.934044,1.3976723,-1165.7896196382724,0.80615234375,0.48583984375
tennis racket,429761,1024,685,"tennis racket, Two men shaking hands while standing on a tennis court.","[0, 13, 1024, 672]",4,0,548344684,4.7474093,1.5199245,-562.885125858307,0.7880859375,0.460693359375
tennis racket,65736,1024,683,"tennis racket, A woman tennis player in a black army shirt and tennis skirt, swinging a tennis racket.","[0, 0, 1024, 672]",3,0,27700026,5.6942496,1.4734725,-652.395905687519,0.66552734375,0.435546875
tennis racket,64718,1024,742,"tennis racket, A man is swinging a tennis racket at a ball.","[0, 0, 1024, 736]",6,0,1901078373,4.030877,1.2363108,-455.04155908352095,0.7041015625,0.36279296875
tennis racket,193743,683,1024,"tennis racket, A man holding a tennis racket is holding up his hand.","[11, 0, 672, 1024]",5,0,1245682962,5.7198105,1.674823,-825.8763085496812,0.1229248046875,0.22509765625
scissors,5001,1024,768,"scissors, A man uses a pair of big scissors to cut a pink ribbon.","[0, 0, 1024, 768]",5,0,1145441010,5.687455,1.442014,-341.9339422151495,0.098876953125,0.3037109375
scissors,368294,1024,681,"scissors, A woman sitting with a washcloth on her head and scissors in her hands. ","[0, 9, 1024, 672]",4,0,847200043,4.710425,1.4601899,-499.6262677727661,0.27880859375,0.41162109375
scissors,251824,800,600,"scissors, A person sitting at a wooden table holding an electronic device.","[0, 8, 800, 592]",4,0,757855135,5.381464,1.5612513,-239.62261076167167,0.52099609375,0.39404296875
scissors,99024,1024,771,"scissors, There is a person in the picture by itself.
","[0, 3, 1024, 768]",6,0,1938609420,4.6276255,1.4994906,-392.2928394544224,0.63525390625,0.48388671875
scissors,154213,800,600,"scissors, A pie sitting in a pan on top of a table next to a pair of scissors.","[0, 8, 800, 592]",6,0,1786372013,5.2850204,1.4455482,-279.5617454881724,0.4638671875,0.439697265625
scissors,324715,1023,682,"scissors, A white Macintosh next to duct tape and red scissors.","[15, 10, 1008, 672]",6,0,2014448640,5.576619,1.463876,-494.6977260347694,0.5400390625,0.439697265625
scissors,500716,911,1024,"scissors, A guy holding a pair of metal scissors in front of his eye.","[0, 0, 896, 1024]",3,0,500051954,5.3919654,1.5263479,-535.5017228623938,0.4697265625,0.381591796875
scissors,255483,925,1024,"scissors, A person holding many papers and cutting one with scissors.","[10, 0, 912, 1024]",3,0,388528798,4.2881627,1.476838,-451.38654279797584,0.450927734375,0.33154296875
elephant,157213,1024,576,"elephant, an elephant in a field near many bushes ","[0, 0, 1024, 576]",4,0,821827540,5.1817536,1.3026885,-400.832983155221,0.2381591796875,0.4521484375
elephant,259625,1024,683,"elephant, An elephant messing with a tree trunk. ","[0, 11, 1024, 672]",4,0,847200043,5.575626,1.3572129,-266.79010119383474,0.2568359375,0.411376953125
elephant,474170,1024,768,"elephant, A couple of elephants standing on a lush green forest.","[0, 0, 1024, 768]",4,0,757855135,5.5438004,1.4520892,-408.2913140353144,0.0880126953125,0.363525390625
elephant,414795,1024,768,"elephant, A herd of elephants walking into a large body of water.","[0, 0, 1024, 768]",5,0,1340589947,5.5948977,1.3773191,-226.379509553456,0.0677490234375,0.404296875
elephant,94852,1023,819,"elephant, A mother looks after a baby elephant in the wild.","[0, 3, 1008, 816]",6,0,1938609420,5.986297,1.2669944,-402.81181683225645,0.0869140625,0.378662109375
elephant,245915,800,533,"elephant, A herd of elephants splashing and playing in a river.","[0, 5, 800, 528]",6,0,2014448640,4.912958,1.4257727,-300.42054059987095,0.095947265625,0.3330078125
elephant,83113,1024,768,"elephant, An elephant looking at the camera in a pin.","[0, 0, 1024, 768]",3,0,500051954,6.064463,1.2288816,-362.6173471720051,0.29150390625,0.430419921875
elephant,263860,800,533,"elephant, Two elephants in a field rubbing their trunks on each other.","[0, 5, 800, 528]",3,0,168571695,6.0693483,1.3052006,-272.17368527199073,0.2274169921875,0.443359375
elephant,389316,1024,577,"elephant, Two young elephants stand next to a wooden fence.","[0, 1, 1024, 576]",3,0,388528798,6.576219,1.2824302,-243.3345897437309,0.281005859375,0.42138671875
elephant,556765,774,518,"elephant, A baby elephant having fun playing in a river.","[6, 6, 768, 512]",6,0,1701289843,6.746893,1.2619963,-408.433637602358,0.1505126953125,0.425537109375
elephant,433374,774,518,"elephant, A herd of elephants walking along a river and a rocky hillside.","[0, 0, 768, 512]",4,0,644859804,5.84002,1.3466264,-369.757282414233,0.2080078125,0.3779296875
elephant,493284,1024,683,"elephant, A group of adult and young elephants walking. ","[0, 11, 1024, 672]",6,0,2038980991,6.4481015,1.2845113,-231.10510124420668,0.342529296875,0.38671875
elephant,320743,1024,576,"elephant, Men in blue with hats are riding elephants.","[0, 0, 1024, 576]",5,0,1579638338,6.5580864,1.2806952,-432.0132257459448,0.1622314453125,0.39697265625
elephant,162543,1024,576,"elephant, A herd of elephants standing on top of a dirt road.","[0, 0, 1024, 576]",5,0,1182859276,5.27051,1.4325505,-324.62067557458863,0.279296875,0.412353515625
elephant,126216,1023,685,"elephant, Three elephants in a grassy area with trees around.","[15, 0, 1008, 672]",5,0,1131072087,5.654038,1.309142,-347.0000198206185,0.1605224609375,0.346435546875
elephant,166664,1024,683,"elephant, A big elephant makes its way across the road with onlookers in the car.","[0, 0, 1024, 672]",6,0,1827983318,6.27611,1.1994511,-230.99954940973927,0.1893310546875,0.432373046875
elephant,286994,1024,768,"elephant, some elephants and one is by some water","[0, 0, 1024, 768]",5,0,1217393872,5.5556474,1.3840282,-298.4250632071744,0.126220703125,0.43798828125
elephant,465180,1023,681,"elephant, People with elephants doing various activities in a river.","[0, 0, 1008, 672]",3,0,335554307,6.2054005,1.3104017,-371.12578511594165,0.046173095703125,0.343017578125
elephant,286503,1024,683,"elephant, An elephant standing next to a stone in a cage.","[0, 11, 1024, 672]",5,0,1130085198,6.009179,1.2867523,-380.7485326146869,0.216064453125,0.41455078125
elephant,445248,1024,683,"elephant, a group of little elephants standing close to each other ","[0, 0, 1024, 672]",4,0,807025520,6.2169642,1.3467929,-278.2678484902742,0.21240234375,0.4404296875
elephant,368961,1024,768,"elephant, Two mini elephants walking  toward people on a plank ","[0, 0, 1024, 768]",3,0,126659316,5.9488773,1.3847644,-399.2437022487407,0.1932373046875,0.414306640625
elephant,107851,1024,768,"elephant, A large group of people riding elephants through the brush.","[0, 0, 1024, 768]",4,0,544610078,5.768452,1.4062607,-324.1485208233912,0.064697265625,0.35986328125
elephant,24919,1023,680,"elephant, A herd of elephants standing on top of a field.","[15, 0, 1008, 672]",3,0,502803994,6.280324,1.2735295,-345.59197412749563,0.185302734375,0.400390625
elephant,119641,1024,768,"elephant, A herd of elephants walking down a river with people riding on their backs.","[0, 0, 1024, 768]",3,0,78112099,5.002845,1.3771722,-382.746335772518,0.12939453125,0.410400390625
elephant,53624,1024,683,"elephant, A large gray elephant standing on a pool of water.","[0, 11, 1024, 672]",6,0,2135232880,6.353597,1.361381,-293.0464537759672,0.130859375,0.42138671875
elephant,565624,1024,600,"elephant, Two elephants walking around inside of a grassy enclosure.","[0, 8, 1024, 592]",4,0,1006074700,6.554422,1.188824,-366.4474941589585,0.25146484375,0.4130859375
elephant,48504,1024,683,"elephant, Two elephants walking around the center ring of a circus.","[0, 11, 1024, 672]",5,0,1171239504,6.2498984,1.2989626,-284.10589842758054,0.23046875,0.416015625
elephant,80274,1024,768,"elephant, Two elephants that are standing next to each other.","[0, 0, 1024, 768]",6,0,1754370252,6.350051,1.270709,-335.811480774144,0.11126708984375,0.388916015625
elephant,564133,1024,678,"elephant, Some elephants walk together through the grass. ","[0, 6, 1024, 672]",5,0,1084998680,5.7181525,1.3720266,-393.57777331283023,0.096435546875,0.37158203125
elephant,293300,1024,683,"elephant, Two large elephants standing next to a wire fence.","[0, 0, 1024, 672]",6,0,1933072943,6.6048374,1.1882299,-478.8425710046765,0.192626953125,0.385498046875
elephant,314294,1024,576,"elephant, An elephant standing under the shade of a tree.","[0, 0, 1024, 576]",4,0,825039645,5.5717597,1.3688222,-287.4851931373523,0.305419921875,0.4287109375
elephant,178618,713,1024,"elephant, A dust cloud has formed in front of an elephant.","[9, 0, 704, 1024]",4,0,914582800,5.7605724,1.4550779,-261.19273466571553,0.279296875,0.40283203125
elephant,105923,1024,748,"elephant, A statue of an elephant through a window in a store.","[0, 0, 1024, 736]",3,0,86984129,6.511518,1.2958888,-568.4938538234073,0.14794921875,0.3994140625
elephant,97230,1024,768,"elephant, Two elephants are eating some leaves by the road.","[0, 0, 1024, 768]",4,0,1058021795,6.2475915,1.2621965,-311.3778936126364,0.29248046875,0.421630859375
sports ball,438862,1024,683,"sports ball, a group of adults playing soccer on a field","[0, 11, 1024, 672]",4,0,757855135,4.147887,1.4050992,-861.5429418979472,0.81591796875,0.441162109375
sports ball,179285,685,1023,"sports ball, A Penn tennis bill resting on a tennis racquet","[13, 11, 672, 1008]",5,0,1340589947,5.398579,1.4266075,-262.83810253525166,0.453369140625,0.383056640625
sports ball,257624,678,1024,"sports ball, there is a young girl playing with soccer balls","[0, 0, 672, 1024]",6,0,1938609420,4.8243856,1.431186,-894.5069380219472,0.6826171875,0.41357421875
sports ball,225405,1024,753,"sports ball, Two boys are playing with a soccer ball.","[0, 1, 1024, 752]",6,0,1786372013,3.5118425,1.1788791,-316.01652790249204,0.73681640625,0.442626953125
sports ball,60102,1024,576,"sports ball, Two opponents are playing during a soccor game.","[0, 0, 1024, 576]",6,0,2014448640,4.2393394,1.3725983,-296.208543316546,0.91064453125,0.474365234375
sports ball,308476,1024,768,"sports ball, A polar bear standing on a rock formation in an enclosure.","[0, 0, 1024, 768]",3,0,168571695,4.490795,1.4668424,-270.1301773177438,0.173828125,0.310791015625
sports ball,410880,1024,768,"sports ball, A large and over-sized stuffed teddy bear sitting in a chair.","[0, 0, 1024, 768]",3,0,388528798,4.7925754,1.5947249,-572.6004122430707,0.15234375,0.312255859375
sports ball,407298,1024,768,"sports ball, A kid with a glove and a ball.","[0, 0, 1024, 768]",6,0,1701289843,3.9510407,1.2671626,-443.1382623356381,0.505859375,0.36669921875
sports ball,347930,1024,768,"sports ball, A blue dog sitting on  a striped couch","[0, 0, 1024, 768]",4,0,644859804,5.0654163,1.4837409,-693.6027285332997,0.10260009765625,0.337158203125
sports ball,190236,1024,628,"sports ball, An office cubicle with four different types of computers.","[0, 4, 1024, 624]",6,0,2038980991,4.487062,1.5074373,-512.1933795360264,0.71435546875,0.359619140625
sports ball,12062,1024,683,"sports ball, A large white sheep standing next to other sheep.","[0, 0, 1024, 672]",4,0,906032039,4.2673903,1.4603032,-853.6088402961464,0.33447265625,0.303466796875
sports ball,42296,1024,680,"sports ball, a polar bear partially submerged in a body of water","[0, 8, 1024, 672]",5,0,1579638338,5.204757,1.4215536,-509.9954889681417,0.70068359375,0.408203125
